1.25;4;1
1.6;5;1
2;1;1
1.6;5;1
1.5;2;1
1.666;3;1
2.333;3;1
1;1;1
1;1;1
1.25;4;1
1.5;2;1
1.5;4;1
1.5;2;1
1.666;3;1
1;1;1
1;1;1
1.25;4;1
1;1;1
0.8;5;1
1;2;1
1;4;1
1;1;1
1;1;1
2.333;3;1
1;1;1
1.5;2;1
1.5;2;1
1.5;2;1
1;1;1
1;2;1
4;3;2
2;5;2
3;2;2
2;2;2
2.5;2;2
3.4;5;2
1;2;2
1;1;2
1;1;2
1.333;3;2
1.545;11;2
14;1;2
6.666;6;2
4;3;3
2;5;3
3;2;3
2.5;2;3
2.5;2;3
3.4;5;3
1;2;3
1;1;3
1;1;3
1.333;3;3
1.545;11;3
14;1;3
6.666;6;3
2;1;3
9.333;3;3
3.333;3;3
5;4;3
